,0,1,2
85,1.3595548,-2.2312841,-0.5510724
86,2.3976476,-2.334168,0.28865308
87,3.4153697,-2.3469257,-2.8374171
88,0.5978028,-1.0963454,-0.7311975
89,0.29705125,-1.0440676,-0.92921364
90,5.7001996,0.80082434,-5.1996455
91,0.37960464,-1.3897431,-0.43612105
92,0.32396507,-1.176948,-1.1965842
93,2.1345384,-2.2414737,-1.3625896
94,-0.51594603,-0.7280247,-0.27245897
95,0.24453634,-2.5287888,0.43217826
96,-0.9507543,0.16578747,1.5052567
97,2.0112817,-0.82021946,-1.2523922
98,3.9361093,0.33154693,-2.3154545
99,-0.08336824,0.0459875,-1.7144274
100,0.89366907,-0.32244503,-1.8027927
101,1.1708262,-0.8099113,-2.2379127
102,1.766151,-0.3828202,-2.4685383
103,2.3377266,-3.8014052,0.51222897
104,2.2605834,-1.3284737,-2.4944277
105,2.8568022,-1.0087522,-3.146954
106,0.88600427,-0.5018837,-0.5820886
107,1.4177554,-0.96670824,-2.4410243
108,-2.0359876,0.057475194,1.6043587
109,0.3036719,-1.1571774,-1.0142936
110,0.083186924,0.26530305,-2.353488
111,4.232372,1.8950856,-2.4303951
112,3.3141901,-1.7867801,-1.2692778
113,5.075726,-0.9124908,-4.517761
114,0.35958415,-1.2718918,-2.025948
115,2.3809044,-0.90884584,-2.2284021
116,4.7595363,-2.768845,-3.6922445
117,2.2570856,-0.6224619,-2.3392167
118,-0.42419425,-0.8394266,-0.21269822
119,2.4669135,-2.9674616,-1.711115
120,1.2933447,0.3889042,-1.9218601
121,0.6057399,-1.7739921,-0.23021692
122,-0.21688244,0.06577787,-1.618155
123,2.2187731,-1.4523658,-1.6543763
124,-0.19459218,-0.89937073,-0.18738958
125,1.6548185,-2.2375467,-1.0429457
126,-0.1169239,-0.458858,0.08751644
127,-0.97411513,3.2565508,-0.61359495
128,1.1551752,-3.52981,-0.3751328
129,3.516312,-0.24212615,-3.6409478
130,0.95235854,-1.1641881,-1.0769671
131,2.3082538,-1.1170378,-1.2154661
132,1.0883253,-1.2824358,-1.1583174
133,-0.3370973,-1.523216,0.4628731
134,0.065466285,-1.8087631,1.3516676
135,1.1518755,-2.8252203,0.21498704
136,6.222578,-1.6337398,-5.0726457
137,3.6625273,-2.595518,-2.8978534
138,1.4418113,-0.41626155,-1.733914
139,0.32252872,-2.3768747,1.0163827
140,1.5281978,0.0504705,-1.4287865
141,1.1305172,-1.3720033,-1.2287793
142,2.302358,0.74958193,-2.605764
143,-0.5538514,-0.23761024,0.14405994
144,2.4024494,-2.6381922,-1.8668344
145,0.90428466,-1.8961846,-1.1968514
146,2.355072,-3.044793,0.18122059
147,3.09051,-0.029686958,0.10222292
148,0.8891526,-1.4962202,-1.4033812
149,1.9737408,-2.0645316,0.17484096
150,0.99033374,-0.8215943,-0.72421414
151,1.2527804,-2.6341915,0.39346576
152,2.0286357,-2.2649486,-2.7992148
153,0.50344855,-0.29778594,-0.6950159
154,3.23685,0.10878428,-2.9622145
155,-0.86419266,-1.9935125,0.28558266
156,0.034042478,-3.007483,1.3236763
157,-0.13200685,-2.2837288,0.8187073
158,0.32984757,0.6085492,0.09135221
159,1.504278,-0.5684253,-1.8312485
160,2.941361,-1.5534874,-2.1729426
161,2.1616437,0.96573204,-3.080864
162,5.4371033,0.989822,-4.3499775
163,0.50330776,-2.10702,-0.228546
164,2.4003673,-0.71434,-2.523787
165,1.4259017,-0.89281815,-2.1631293
166,-1.7932057,0.17772664,1.668938
167,1.1880627,-2.7671726,-0.743382
